Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\samples\ConsoleSample\ConsoleSample.csproj,File,src\samples\ConsoleSample\ConsoleSample.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\main\Hangfire.Storage.SQLite\Hangfire.Storage.SQLite.csproj,File,src\main\Hangfire.Storage.SQLite\Hangfire.Storage.SQLite.csproj,,,,,,,,Current target framework: netstandard2.0;net48 Recommended target framework: netstandard2.0;net48;net10.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\main\Hangfire.Storage.SQLite\Hangfire.Storage.SQLite.csproj,File,src\main\Hangfire.Storage.SQLite\SQLiteDistributedLock.cs,171,12,M:System.TimeSpan.FromMilliseconds(System.Double),,,,,TimeSpan timerInterval = TimeSpan.FromMilliseconds(_storageOptions.DistributedLockLifetime.TotalMilliseconds / 5);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\main\Hangfire.Storage.SQLite\Hangfire.Storage.SQLite.csproj,File,src\main\Hangfire.Storage.SQLite\SQLiteStorageOptions.cs,20,12,M:System.TimeSpan.FromMinutes(System.Double),,,,,CountersAggregateInterval = TimeSpan.FromMinutes(5);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\main\Hangfire.Storage.SQLite\Hangfire.Storage.SQLite.csproj,File,src\main\Hangfire.Storage.SQLite\SQLiteStorageOptions.cs,19,12,M:System.TimeSpan.FromHours(System.Double),,,,,JobExpirationCheckInterval = TimeSpan.FromHours(1);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\main\Hangfire.Storage.SQLite\Hangfire.Storage.SQLite.csproj,File,src\main\Hangfire.Storage.SQLite\SQLiteStorageOptions.cs,18,12,M:System.TimeSpan.FromSeconds(System.Double),,,,,DistributedLockLifetime = TimeSpan.FromSeconds(30);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\main\Hangfire.Storage.SQLite\Hangfire.Storage.SQLite.csproj,File,src\main\Hangfire.Storage.SQLite\SQLiteStorageOptions.cs,17,12,M:System.TimeSpan.FromMinutes(System.Double),,,,,InvisibilityTimeout = TimeSpan.FromMinutes(30);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\main\Hangfire.Storage.SQLite\Hangfire.Storage.SQLite.csproj,File,src\main\Hangfire.Storage.SQLite\SQLiteStorageOptions.cs,16,12,M:System.TimeSpan.FromSeconds(System.Double),,,,,QueuePollInterval = TimeSpan.FromSeconds(15);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\main\Hangfire.Storage.SQLite\Hangfire.Storage.SQLite.csproj,File,src\main\Hangfire.Storage.SQLite\SQLiteStorageOptions.cs,20,12,M:System.TimeSpan.FromMinutes(System.Double),,,,,CountersAggregateInterval = TimeSpan.FromMinutes(5);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\main\Hangfire.Storage.SQLite\Hangfire.Storage.SQLite.csproj,File,src\main\Hangfire.Storage.SQLite\SQLiteStorageOptions.cs,19,12,M:System.TimeSpan.FromHours(System.Double),,,,,JobExpirationCheckInterval = TimeSpan.FromHours(1);
